cntry,essround,hinctnta,gndr,gndr2,agea,eisced,domicil,edulvlb,pdwrk,hhmmb,health,happy,dscrrce,dscrgrp,mnactic
BE,10,9.0,1,2,57.0,5.0,3,421.0,1,2.0,2,8.0,0,2,1.0
BE,10,2.0,2,6,82.0,3.0,4,321.0,0,1.0,2,8.0,0,2,6.0
BE,10,8.0,1,2,44.0,4.0,3,323.0,1,4.0,2,9.0,0,2,1.0
BE,10,8.0,1,2,37.0,7.0,3,710.0,1,4.0,1,9.0,0,2,1.0
BE,10,10.0,2,1,55.0,7.0,4,720.0,1,3.0,2,8.0,0,2,1.0
BE,10,6.0,1,1,42.0,2.0,3,213.0,1,2.0,2,8.0,0,2,1.0
BE,10,6.0,2,1,54.0,6.0,1,610.0,1,4.0,1,8.0,0,2,1.0
BE,10,1.0,2,6,58.0,6.0,1,610.0,0,1.0,2,8.0,1,1,5.0
BE,10,7.0,2,1,18.0,2.0,4,213.0,0,5.0,1,10.0,0,2,2.0
BE,10,3.0,1,6,58.0,6.0,4,610.0,0,1.0,2,7.0,0,2,6.0
BE,10,8.0,2,1,37.0,7.0,2,800.0,1,5.0,2,9.0,0,2,1.0
BE,10,10.0,1,2,29.0,6.0,4,610.0,1,3.0,1,9.0,0,2,1.0
BE,10,3.0,2,2,59.0,6.0,4,610.0,0,2.0,2,8.0,0,2,3.0
BE,10,2.0,1,2,24.0,3.0,4,321.0,0,2.0,1,4.0,0,2,3.0
BE,10,5.0,1,2,65.0,5.0,2,423.0,0,3.0,2,7.0,0,2,6.0
BE,10,3.0,1,2,,5.0,4,421.0,0,2.0,1,8.0,0,2,6.0
BE,10,5.0,2,1,62.0,2.0,4,213.0,0,2.0,2,8.0,0,1,3.0
BE,10,7.0,2,1,42.0,6.0,3,610.0,0,3.0,3,8.0,0,2,5.0
BE,10,5.0,2,6,42.0,6.0,4,610.0,1,1.0,1,7.0,0,2,1.0
